14:42:51 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
15:37:55 - Buffer: mistake | interpreted_ar: ةهسفشنث | back_to_en: mistake
15:37:55 - Buffer: mistake | interpreted_ar: ةهسفشنث | back_to_en: mistake
15:37:57 - Buffer: mad | interpreted_ar: ةشي | back_to_en: mad
15:37:57 - Buffer: made | interpreted_ar: ةشيث | back_to_en: made
15:37:57 - Buffer: made | interpreted_ar: ةشيث | back_to_en: made
15:37:57 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:37:57 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:37:58 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:37:58 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:37:58 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:37:58 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
15:37:58 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
15:37:58 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
15:38:00 - Buffer: som | interpreted_ar: سخة | back_to_en: som
15:38:00 - Buffer: som | interpreted_ar: سخة | back_to_en: som
15:38:00 - Buffer: some | interpreted_ar: سخةث | back_to_en: some
15:38:01 - Buffer: oth | interpreted_ar: خفا | back_to_en: oth
15:38:01 - Buffer: oth | interpreted_ar: خفا | back_to_en: oth
15:38:01 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:38:01 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:38:01 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:38:01 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:38:01 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:38:01 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:38:01 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:38:02 - Buffer: sou | interpreted_ar: سخع | back_to_en: sou
15:38:02 - Buffer: sou | interpreted_ar: سخع | back_to_en: sou
15:38:02 - Buffer: sou | interpreted_ar: سخع | back_to_en: sou
15:38:02 - Buffer: soun | interpreted_ar: سخعى | back_to_en: soun
15:38:02 - Buffer: sound | interpreted_ar: سخعىي | back_to_en: sound
15:38:02 - Buffer: sound | interpreted_ar: سخعىي | back_to_en: sound
15:38:03 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:38:03 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:38:04 - Buffer: one | interpreted_ar: خىث | back_to_en: one
15:38:04 - Buffer: one | interpreted_ar: خىث | back_to_en: one
15:38:04 - Buffer: one | interpreted_ar: خىث | back_to_en: one
15:38:05 - Buffer: fro | interpreted_ar: بقخ | back_to_en: fro
15:38:05 - Buffer: fro | interpreted_ar: بقخ | back_to_en: fro
15:38:05 - Buffer: fro | interpreted_ar: بقخ | back_to_en: fro
15:38:05 - Buffer: from | interpreted_ar: بقخة | back_to_en: from
15:38:05 - Buffer: from | interpreted_ar: بقخة | back_to_en: from
15:38:05 - Buffer: from | interpreted_ar: بقخة | back_to_en: from
15:38:06 - Buffer: win | interpreted_ar: صهى | back_to_en: win
15:38:06 - Buffer: win | interpreted_ar: صهى | back_to_en: win
15:38:06 - Buffer: win | interpreted_ar: صهى | back_to_en: win
15:38:06 - Buffer: win | interpreted_ar: صهى | back_to_en: win
15:38:06 - Buffer: wind | interpreted_ar: صهىي | back_to_en: wind
15:38:06 - Buffer: wind | interpreted_ar: صهىي | back_to_en: wind
15:38:06 - Buffer: wind | interpreted_ar: صهىي | back_to_en: wind
15:38:06 - Buffer: windo | interpreted_ar: صهىيخ | back_to_en: windo
15:38:06 - Buffer: window | interpreted_ar: صهىيخص | back_to_en: window
15:38:06 - Buffer: window | interpreted_ar: صهىيخص | back_to_en: window
15:38:06 - Buffer: window | interpreted_ar: صهىيخص | back_to_en: window
15:38:07 - Buffer: windows | interpreted_ar: صهىيخصس | back_to_en: windows
15:38:07 - Buffer: windows | interpreted_ar: صهىيخصس | back_to_en: windows
15:38:07 - Buffer: windows | interpreted_ar: صهىيخصس | back_to_en: windows
15:38:08 - Buffer: whe | interpreted_ar: صاث | back_to_en: whe
15:38:08 - Buffer: when | interpreted_ar: صاثى | back_to_en: when
15:38:08 - Buffer: when | interpreted_ar: صاثى | back_to_en: when
15:38:08 - Buffer: when | interpreted_ar: صاثى | back_to_en: when
15:38:08 - Buffer: when | interpreted_ar: صاثى | back_to_en: when
15:38:09 - Buffer: sel | interpreted_ar: سثم | back_to_en: sel
15:38:09 - Buffer: sel | interpreted_ar: سثم | back_to_en: sel
15:38:10 - Buffer: sele | interpreted_ar: سثمث | back_to_en: sele
15:38:10 - Buffer: sele | interpreted_ar: سثمث | back_to_en: sele
15:38:10 - Buffer: selec | interpreted_ar: سثمثؤ | back_to_en: selec
15:38:10 - Buffer: selec | interpreted_ar: سثمثؤ | back_to_en: selec
15:38:10 - Buffer: select | interpreted_ar: سثمثؤف | back_to_en: select
15:38:10 - Buffer: selecti | interpreted_ar: سثمثؤفه | back_to_en: selecti
15:38:10 - Buffer: selecti | interpreted_ar: سثمثؤفه | back_to_en: selecti
15:38:10 - Buffer: selecti | interpreted_ar: سثمثؤفه | back_to_en: selecti
15:38:11 - Buffer: selectin | interpreted_ar: سثمثؤفهى | back_to_en: selectin
15:38:11 - Buffer: selectin | interpreted_ar: سثمثؤفهى | back_to_en: selectin
15:38:11 - Buffer: selectin | interpreted_ar: سثمثؤفهى | back_to_en: selectin
15:38:11 - Buffer: selecting | interpreted_ar: سثمثؤفهىل | back_to_en: selecting
15:38:11 - Buffer: selecting | interpreted_ar: سثمثؤفهىل | back_to_en: selecting
15:38:12 - Buffer: oth | interpreted_ar: خفا | back_to_en: oth
15:38:12 - Buffer: oth | interpreted_ar: خفا | back_to_en: oth
15:38:12 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:38:12 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:38:12 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:38:12 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:38:12 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:38:12 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:38:12 - Buffer: tab | interpreted_ar: فشلا | back_to_en: tab
15:38:12 - Buffer: tab | interpreted_ar: فشلا | back_to_en: tab
15:38:13 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:38:13 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:38:13 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:38:14 - Buffer: than | interpreted_ar: فاشى | back_to_en: than
15:38:14 - Buffer: than | interpreted_ar: فاشى | back_to_en: than
15:38:14 - Buffer: than | interpreted_ar: فاشى | back_to_en: than
15:38:14 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:38:14 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:38:14 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:38:15 - Buffer: one | interpreted_ar: خىث | back_to_en: one
15:38:15 - Buffer: one | interpreted_ar: خىث | back_to_en: one
15:38:15 - Buffer: one | interpreted_ar: خىث | back_to_en: one
15:38:15 - Buffer: one | interpreted_ar: خىث | back_to_en: one
15:38:17 - Buffer: sho | interpreted_ar: ساخ | back_to_en: sho
15:38:17 - Buffer: shou | interpreted_ar: ساخع | back_to_en: shou
15:38:17 - Buffer: shou | interpreted_ar: ساخع | back_to_en: shou
15:38:17 - Buffer: shou | interpreted_ar: ساخع | back_to_en: shou
15:38:17 - Buffer: shou | interpreted_ar: ساخع | back_to_en: shou
15:38:18 - Buffer: shoul | interpreted_ar: ساخعم | back_to_en: shoul
15:38:18 - Buffer: shoul | interpreted_ar: ساخعم | back_to_en: shoul
15:38:18 - Buffer: shoul | interpreted_ar: ساخعم | back_to_en: shoul
15:38:18 - Buffer: should | interpreted_ar: ساخعمي | back_to_en: should
15:38:18 - Buffer: should | interpreted_ar: ساخعمي | back_to_en: should
15:38:19 - Buffer: cli | interpreted_ar: ؤمه | back_to_en: cli
15:38:20 - Buffer: clic | interpreted_ar: ؤمهؤ | back_to_en: clic
15:38:20 - Buffer: click | interpreted_ar: ؤمهؤن | back_to_en: click
15:38:20 - Buffer: click | interpreted_ar: ؤمهؤن | back_to_en: click
15:38:20 - Buffer: click | interpreted_ar: ؤمهؤن | back_to_en: click
15:38:21 - Buffer: fir | interpreted_ar: بهق | back_to_en: fir
15:38:21 - Buffer: firs | interpreted_ar: بهقس | back_to_en: firs
15:38:21 - Buffer: firs | interpreted_ar: بهقس | back_to_en: firs
15:38:21 - Buffer: firs | interpreted_ar: بهقس | back_to_en: firs
15:38:21 - Buffer: first | interpreted_ar: بهقسف | back_to_en: first
15:38:22 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:38:22 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:38:22 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:38:23 - Buffer: for | interpreted_ar: بخق | back_to_en: for
15:38:23 - Buffer: ara | interpreted_ar: شقش | back_to_en: ara
15:38:24 - Buffer: arab | interpreted_ar: شقشلا | back_to_en: arab
15:38:24 - Buffer: arabi | interpreted_ar: شقشلاه | back_to_en: arabi
15:38:24 - Buffer: arabi | interpreted_ar: شقشلاه | back_to_en: arabi
15:38:24 - Buffer: arabic | interpreted_ar: شقشلاهؤ | back_to_en: arabic
15:38:24 - Buffer: arabic | interpreted_ar: شقشلاهؤ | back_to_en: arabic
15:38:24 - Buffer: arabic | interpreted_ar: شقشلاهؤ | back_to_en: arabic
15:38:25 - Buffer: now | interpreted_ar: ىخص | back_to_en: now
15:38:25 - Buffer: now | interpreted_ar: ىخص | back_to_en: now
15:38:25 - Buffer: now | interpreted_ar: ىخص | back_to_en: now
15:38:27 - Buffer: bar | interpreted_ar: لاشق | back_to_en: bar
15:38:27 - Buffer: bar | interpreted_ar: لاشق | back_to_en: bar
15:38:27 - Buffer: bare | interpreted_ar: لاشقث | back_to_en: bare
15:38:27 - Buffer: bare | interpreted_ar: لاشقث | back_to_en: bare
15:38:27 - Buffer: bare | interpreted_ar: لاشقث | back_to_en: bare
15:38:27 - Buffer: barel | interpreted_ar: لاشقثم | back_to_en: barel
15:38:27 - Buffer: barel | interpreted_ar: لاشقثم | back_to_en: barel
15:38:27 - Buffer: barel | interpreted_ar: لاشقثم | back_to_en: barel
15:38:28 - Buffer: barely | interpreted_ar: لاشقثمغ | back_to_en: barely
15:38:28 - Buffer: barely | interpreted_ar: لاشقثمغ | back_to_en: barely
15:38:29 - Buffer: det | interpreted_ar: يثف | back_to_en: det
15:38:29 - Buffer: dete | interpreted_ar: يثفث | back_to_en: dete
15:38:29 - Buffer: dete | interpreted_ar: يثفث | back_to_en: dete
15:38:29 - Buffer: dete | interpreted_ar: يثفث | back_to_en: dete
15:38:30 - Buffer: detec | interpreted_ar: يثفثؤ | back_to_en: detec
15:38:30 - Buffer: detec | interpreted_ar: يثفثؤ | back_to_en: detec
15:38:30 - Buffer: detect | interpreted_ar: يثفثؤف | back_to_en: detect
15:38:30 - Buffer: detect | interpreted_ar: يثفثؤف | back_to_en: detect
15:38:30 - Buffer: detect | interpreted_ar: يثفثؤف | back_to_en: detect
15:38:30 - Buffer: detects | interpreted_ar: يثفثؤفس | back_to_en: detects
15:38:30 - Buffer: detects | interpreted_ar: يثفثؤفس | back_to_en: detects
15:38:31 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:38:31 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:38:31 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:38:31 - Buffer: that | interpreted_ar: فاشف | back_to_en: that
15:38:31 - Buffer: that | interpreted_ar: فاشف | back_to_en: that
15:38:31 - Buffer: that | interpreted_ar: فاشف | back_to_en: that
15:38:33 - Buffer: wan | interpreted_ar: صشى | back_to_en: wan
15:38:33 - Buffer: wan | interpreted_ar: صشى | back_to_en: wan
15:38:33 - Buffer: wan | interpreted_ar: صشى | back_to_en: wan
15:38:33 - Buffer: want | interpreted_ar: صشىف | back_to_en: want
15:38:33 - Buffer: want | interpreted_ar: صشىف | back_to_en: want
15:38:35 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
15:38:35 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
15:38:35 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
15:38:35 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
15:38:35 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
15:38:35 - Buffer: write | interpreted_ar: صقهفث | back_to_en: write
15:38:35 - Buffer: write | interpreted_ar: صقهفث | back_to_en: write
15:38:36 - Buffer: ine | interpreted_ar: هىث | back_to_en: ine
15:38:36 - Buffer: ine | interpreted_ar: هىث | back_to_en: ine
15:38:36 - Buffer: ine | interpreted_ar: هىث | back_to_en: ine
15:38:38 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
15:38:39 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
15:38:39 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
15:38:39 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
15:38:39 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
15:38:39 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
15:38:39 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
15:38:39 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
15:38:39 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
15:38:39 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
15:38:39 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
15:38:39 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
15:38:40 - Buffer: but | interpreted_ar: لاعف | back_to_en: but
15:38:40 - Buffer: but | interpreted_ar: لاعف | back_to_en: but
15:38:40 - Buffer: but | interpreted_ar: لاعف | back_to_en: but
15:38:41 - Buffer: mis | interpreted_ar: ةهس | back_to_en: mis
15:38:41 - Buffer: mist | interpreted_ar: ةهسف | back_to_en: mist
15:38:41 - Buffer: mist | interpreted_ar: ةهسف | back_to_en: mist
15:38:41 - Buffer: misto | interpreted_ar: ةهسفخ | back_to_en: misto
15:38:41 - Buffer: misto | interpreted_ar: ةهسفخ | back_to_en: misto
15:38:41 - Buffer: misto | interpreted_ar: ةهسفخ | back_to_en: misto
15:38:41 - Buffer: mistoo | interpreted_ar: ةهسفخخ | back_to_en: mistoo
15:38:41 - Buffer: mistoo | interpreted_ar: ةهسفخخ | back_to_en: mistoo
15:38:41 - Buffer: mistook | interpreted_ar: ةهسفخخن | back_to_en: mistook
15:38:41 - Buffer: mistook | interpreted_ar: ةهسفخخن | back_to_en: mistook
15:38:47 - Buffer: key | interpreted_ar: نثغ | back_to_en: key
15:38:47 - Buffer: key | interpreted_ar: نثغ | back_to_en: key
15:38:47 - Buffer: key | interpreted_ar: نثغ | back_to_en: key
15:38:47 - Buffer: key | interpreted_ar: نثغ | back_to_en: key
15:38:47 - Buffer: keyb | interpreted_ar: نثغلا | back_to_en: keyb
15:38:47 - Buffer: keyb | interpreted_ar: نثغلا | back_to_en: keyb
15:38:47 - Buffer: keybo | interpreted_ar: نثغلاخ | back_to_en: keybo
15:38:47 - Buffer: keybo | interpreted_ar: نثغلاخ | back_to_en: keybo
15:38:47 - Buffer: keybo | interpreted_ar: نثغلاخ | back_to_en: keybo
15:38:47 - Buffer: keyboa | interpreted_ar: نثغلاخش | back_to_en: keyboa
15:38:47 - Buffer: keyboa | interpreted_ar: نثغلاخش | back_to_en: keyboa
15:38:48 - Buffer: keyboar | interpreted_ar: نثغلاخشق | back_to_en: keyboar
15:38:48 - Buffer: keyboar | interpreted_ar: نثغلاخشق | back_to_en: keyboar
15:38:48 - Buffer: keyboard | interpreted_ar: نثغلاخشقي | back_to_en: keyboard
15:38:48 - Buffer: keyboard | interpreted_ar: نثغلاخشقي | back_to_en: keyboard
15:38:48 - Buffer: keyboard | interpreted_ar: نثغلاخشقي | back_to_en: keyboard
15:47:40 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:47:40 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:47:40 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:47:40 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:47:40 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:47:40 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:47:40 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:47:40 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:58:31 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:58:31 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:58:31 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:58:31 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:58:31 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:58:32 - Buffer: mel | interpreted_ar: ةثم | back_to_en: mel
15:58:33 - Buffer: melt | interpreted_ar: ةثمف | back_to_en: melt
15:58:33 - Buffer: melt | interpreted_ar: ةثمف | back_to_en: melt
15:58:33 - Buffer: melt | interpreted_ar: ةثمف | back_to_en: melt
15:58:33 - Buffer: melti | interpreted_ar: ةثمفه | back_to_en: melti
15:58:33 - Buffer: melti | interpreted_ar: ةثمفه | back_to_en: melti
15:58:33 - Buffer: meltin | interpreted_ar: ةثمفهى | back_to_en: meltin
15:58:33 - Buffer: melting | interpreted_ar: ةثمفهىل | back_to_en: melting
15:58:33 - Buffer: melting | interpreted_ar: ةثمفهىل | back_to_en: melting
15:58:33 - Buffer: melting | interpreted_ar: ةثمفهىل | back_to_en: melting
15:58:39 - Buffer: ice | interpreted_ar: هؤث | back_to_en: ice
15:58:40 - Buffer: mel | interpreted_ar: ةثم | back_to_en: mel
15:58:40 - Buffer: melt | interpreted_ar: ةثمف | back_to_en: melt
15:58:40 - Buffer: melt | interpreted_ar: ةثمف | back_to_en: melt
15:58:40 - Buffer: melt | interpreted_ar: ةثمف | back_to_en: melt
15:58:40 - Buffer: melti | interpreted_ar: ةثمفه | back_to_en: melti
15:58:40 - Buffer: meltin | interpreted_ar: ةثمفهى | back_to_en: meltin
15:58:40 - Buffer: melting | interpreted_ar: ةثمفهىل | back_to_en: melting
15:58:40 - Buffer: melting | interpreted_ar: ةثمفهىل | back_to_en: melting
15:58:48 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:58:48 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:58:48 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:58:48 - Buffer: therm | interpreted_ar: فاثقة | back_to_en: therm
15:58:49 - Buffer: thermo | interpreted_ar: فاثقةخ | back_to_en: thermo
15:59:44 - Buffer: tem | interpreted_ar: فثة | back_to_en: tem
15:59:45 - Buffer: temp | interpreted_ar: فثةح | back_to_en: temp
15:59:45 - Buffer: temp | interpreted_ar: فثةح | back_to_en: temp
15:59:45 - Buffer: temp | interpreted_ar: فثةح | back_to_en: temp
15:59:46 - Buffer: whi | interpreted_ar: صاه | back_to_en: whi
15:59:47 - Buffer: whic | interpreted_ar: صاهؤ | back_to_en: whic
15:59:47 - Buffer: whic | interpreted_ar: صاهؤ | back_to_en: whic
15:59:47 - Buffer: which | interpreted_ar: صاهؤا | back_to_en: which
15:59:47 - Buffer: which | interpreted_ar: صاهؤا | back_to_en: which
15:59:47 - Buffer: which | interpreted_ar: صاهؤا | back_to_en: which
15:59:48 - Buffer: ice | interpreted_ar: هؤث | back_to_en: ice
15:59:48 - Buffer: ice | interpreted_ar: هؤث | back_to_en: ice
15:59:48 - Buffer: ice | interpreted_ar: هؤث | back_to_en: ice
15:59:51 - Buffer: lti | interpreted_ar: مفه | back_to_en: lti
15:59:52 - Buffer: ltin | interpreted_ar: مفهى | back_to_en: ltin
15:59:52 - Buffer: lting | interpreted_ar: مفهىل | back_to_en: lting
15:59:52 - Buffer: lting | interpreted_ar: مفهىل | back_to_en: lting
15:59:57 - Buffer: spo | interpreted_ar: سحخ | back_to_en: spo
16:03:27 - Buffer: sec | interpreted_ar: سثؤ | back_to_en: sec
16:03:27 - Buffer: seco | interpreted_ar: سثؤخ | back_to_en: seco
16:03:27 - Buffer: seco | interpreted_ar: سثؤخ | back_to_en: seco
16:03:27 - Buffer: secon | interpreted_ar: سثؤخى | back_to_en: secon
16:03:27 - Buffer: secon | interpreted_ar: سثؤخى | back_to_en: secon
16:03:28 - Buffer: second | interpreted_ar: سثؤخىي | back_to_en: second
16:03:28 - Buffer: second | interpreted_ar: سثؤخىي | back_to_en: second
16:03:29 - Buffer: law | interpreted_ar: مشص | back_to_en: law
16:10:42 - Buffer: kit | interpreted_ar: نهف | back_to_en: kit
16:10:42 - Buffer: kit | interpreted_ar: نهف | back_to_en: kit
16:10:42 - Buffer: kit | interpreted_ar: نهف | back_to_en: kit
16:10:42 - Buffer: kitt | interpreted_ar: نهفف | back_to_en: kitt
16:27:38 - Buffer: thi | interpreted_ar: فاه | back_to_en: thi
16:27:38 - Buffer: this | interpreted_ar: فاهس | back_to_en: this
16:27:39 - Buffer: the | interpreted_ar: فاث | back_to_en: the
16:27:39 - Buffer: the | interpreted_ar: فاث | back_to_en: the
16:27:40 - Buffer: exp | interpreted_ar: ثءح | back_to_en: exp
16:27:40 - Buffer: exp | interpreted_ar: ثءح | back_to_en: exp
16:27:40 - Buffer: exp | interpreted_ar: ثءح | back_to_en: exp
16:27:40 - Buffer: expe | interpreted_ar: ثءحث | back_to_en: expe
16:27:40 - Buffer: expe | interpreted_ar: ثءحث | back_to_en: expe
16:27:40 - Buffer: expe | interpreted_ar: ثءحث | back_to_en: expe
16:27:40 - Buffer: exper | interpreted_ar: ثءحثق | back_to_en: exper
16:27:40 - Buffer: experi | interpreted_ar: ثءحثقه | back_to_en: experi
16:27:40 - Buffer: experi | interpreted_ar: ثءحثقه | back_to_en: experi
16:27:40 - Buffer: experi | interpreted_ar: ثءحثقه | back_to_en: experi
16:27:41 - Buffer: experim | interpreted_ar: ثءحثقهة | back_to_en: experim
16:27:41 - Buffer: experim | interpreted_ar: ثءحثقهة | back_to_en: experim
16:27:41 - Buffer: experim | interpreted_ar: ثءحثقهة | back_to_en: experim
16:27:41 - Buffer: experime | interpreted_ar: ثءحثقهةث | back_to_en: experime
16:27:41 - Buffer: experimen | interpreted_ar: ثءحثقهةثى | back_to_en: experimen
16:27:41 - Buffer: experimen | interpreted_ar: ثءحثقهةثى | back_to_en: experimen
16:27:41 - Buffer: experiment | interpreted_ar: ثءحثقهةثىف | back_to_en: experiment
16:27:41 - Buffer: experiment | interpreted_ar: ثءحثقهةثىف | back_to_en: experiment
16:27:42 - Buffer: and | interpreted_ar: شىي | back_to_en: and
16:27:43 - Buffer: thi | interpreted_ar: فاه | back_to_en: thi
16:27:43 - Buffer: this | interpreted_ar: فاهس | back_to_en: this
16:27:43 - Buffer: this | interpreted_ar: فاهس | back_to_en: this
16:27:43 - Buffer: this | interpreted_ar: فاهس | back_to_en: this
16:27:44 - Buffer: the | interpreted_ar: فاث | back_to_en: the
16:27:44 - Buffer: the | interpreted_ar: فاث | back_to_en: the
16:27:45 - Buffer: dat | interpreted_ar: يشف | back_to_en: dat
16:27:45 - Buffer: data | interpreted_ar: يشفش | back_to_en: data
16:27:45 - Buffer: data | interpreted_ar: يشفش | back_to_en: data
16:27:45 - Buffer: data | interpreted_ar: يشفش | back_to_en: data
16:27:46 - Buffer: col | interpreted_ar: ؤخم | back_to_en: col
16:27:47 - Buffer: coll | interpreted_ar: ؤخمم | back_to_en: coll
16:27:47 - Buffer: coll | interpreted_ar: ؤخمم | back_to_en: coll
16:27:47 - Buffer: colle | interpreted_ar: ؤخممث | back_to_en: colle
16:27:47 - Buffer: colle | interpreted_ar: ؤخممث | back_to_en: colle
16:27:47 - Buffer: colle | interpreted_ar: ؤخممث | back_to_en: colle
16:27:47 - Buffer: collec | interpreted_ar: ؤخممثؤ | back_to_en: collec
16:27:47 - Buffer: collec | interpreted_ar: ؤخممثؤ | back_to_en: collec
16:27:47 - Buffer: collect | interpreted_ar: ؤخممثؤف | back_to_en: collect
16:27:47 - Buffer: collect | interpreted_ar: ؤخممثؤف | back_to_en: collect
16:27:47 - Buffer: collecte | interpreted_ar: ؤخممثؤفث | back_to_en: collecte
16:27:47 - Buffer: collected | interpreted_ar: ؤخممثؤفثي | back_to_en: collected
16:27:47 - Buffer: collected | interpreted_ar: ؤخممثؤفثي | back_to_en: collected
16:29:19 - Buffer: tim | interpreted_ar: فهة | back_to_en: tim
16:29:19 - Buffer: tim | interpreted_ar: فهة | back_to_en: tim
16:29:19 - Buffer: time | interpreted_ar: فهةث | back_to_en: time
16:29:19 - Buffer: time | interpreted_ar: فهةث | back_to_en: time
16:29:19 - Buffer: time | interpreted_ar: فهةث | back_to_en: time
16:29:20 - Buffer: time= | interpreted_ar: فهةث= | back_to_en: time=
16:29:20 - Buffer: time= | interpreted_ar: فهةث= | back_to_en: time=
16:29:28 - Buffer: min | interpreted_ar: ةهى | back_to_en: min
16:29:31 - Buffer: sec | interpreted_ar: سثؤ | back_to_en: sec
16:29:33 - Buffer: tem | interpreted_ar: فثة | back_to_en: tem
16:29:33 - Buffer: temp | interpreted_ar: فثةح | back_to_en: temp
16:29:33 - Buffer: temp | interpreted_ar: فثةح | back_to_en: temp
16:29:33 - Buffer: temp | interpreted_ar: فثةح | back_to_en: temp
16:29:33 - Buffer: temp | interpreted_ar: فثةح | back_to_en: temp
16:29:34 - Buffer: temp= | interpreted_ar: فثةح= | back_to_en: temp=
16:29:34 - Buffer: temp= | interpreted_ar: فثةح= | back_to_en: temp=
16:29:38 - Buffer: cel | interpreted_ar: ؤثم | back_to_en: cel
16:29:38 - Buffer: cel | interpreted_ar: ؤثم | back_to_en: cel
16:29:38 - Buffer: cels | interpreted_ar: ؤثمس | back_to_en: cels
16:29:38 - Buffer: cels | interpreted_ar: ؤثمس | back_to_en: cels
16:29:38 - Buffer: cels | interpreted_ar: ؤثمس | back_to_en: cels
16:29:38 - Buffer: celsi | interpreted_ar: ؤثمسه | back_to_en: celsi
16:29:38 - Buffer: celsi | interpreted_ar: ؤثمسه | back_to_en: celsi
16:29:39 - Buffer: celsis | interpreted_ar: ؤثمسهس | back_to_en: celsis
16:29:39 - Buffer: celsis | interpreted_ar: ؤثمسهس | back_to_en: celsis
16:29:39 - Buffer: celsisu | interpreted_ar: ؤثمسهسع | back_to_en: celsisu
16:29:40 - Buffer: tel | interpreted_ar: فثم | back_to_en: tel
16:29:40 - Buffer: tell | interpreted_ar: فثمم | back_to_en: tell
16:29:40 - Buffer: tell | interpreted_ar: فثمم | back_to_en: tell
16:29:42 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
16:29:43 - Buffer: cac | interpreted_ar: ؤشؤ | back_to_en: cac
16:29:43 - Buffer: cacl | interpreted_ar: ؤشؤم | back_to_en: cacl
16:29:43 - Buffer: cacl | interpreted_ar: ؤشؤم | back_to_en: cacl
16:29:43 - Buffer: caclu | interpreted_ar: ؤشؤمع | back_to_en: caclu
16:29:43 - Buffer: caclu | interpreted_ar: ؤشؤمع | back_to_en: caclu
16:29:43 - Buffer: caclu | interpreted_ar: ؤشؤمع | back_to_en: caclu
16:29:44 - Buffer: caclul | interpreted_ar: ؤشؤمعم | back_to_en: caclul
16:29:44 - Buffer: caclul | interpreted_ar: ؤشؤمعم | back_to_en: caclul
